mRNA,logFC,logCPM,F,PValue,FDR
SPINT1,-5.838634894,5.928430517,159.880489,0.002044114,0.013893281
JAG2,-5.929861168,4.298156823,455.2444986,0.005697147,0.032152293
KIF1A,-6.035085016,4.365276313,544731.9009,1.87E-05,0.000450666
NEFH,-6.035085016,4.365276313,544731.9009,1.87E-05,0.000450666
RRAGD,-6.035085016,4.365276313,544731.9009,1.87E-05,0.000450666
AIF1L,-6.133153242,4.429411945,605.9621947,0.004525354,0.026697929
CRTAC1,-6.133153242,4.429411945,605.9621947,0.004525354,0.026697929
NDRG2,-6.224977405,4.490817784,436320.641,2.24E-05,0.000503519
3-Sep,-6.224977405,4.490817784,436320.641,2.24E-05,0.000503519
PCDH1,-6.224977405,4.490817784,436320.641,2.24E-05,0.000503519
C10orf35,-6.224977405,4.490817784,436320.641,2.24E-05,0.000503519
RSAD2,-6.612695308,4.763862745,1185.398358,0.002635192,0.017106821
HERC5,-6.971985674,5.035196519,1952.668165,0.001762069,0.012241295
TNFSF9,-7.122839104,5.153856888,243172.7482,3.59E-05,0.000686108
CCL5,-7.169810874,5.191336884,2566.237172,0.001413546,0.010530425
BIK,-7.302193059,5.298267958,227680.0956,3.79E-05,0.000712891
NPTX2,-7.384147295,5.365392733,220978.2868,3.88E-05,0.000724802
EPCAM,-7.672082831,5.606443139,1298.236704,0.002448922,0.016084167
C15orf48,-7.672082831,5.606443139,1298.236704,0.002448922,0.016084167
RBP7,-7.704347107,5.633929163,605.3977857,0.004528752,0.026705735
CRLF1,-7.76678848,5.687378995,5786.123947,0.000733602,0.00619145
